88 :4640
114 :2424
90 :8416
94 :8216
97 :7768
11 :3268
12 :2684
13 :2320
120 :4064
1 :4488
122 :2404
2 :3928
5 :3796
6 :3292
128 :3160
9 :2460
23 :3376
24 :5040
29 :2160
31 :3808
36 :8200
38 :6824
41 :5880
42 :2536
55 :3552
56 :4864
57 :3800
63 :2480
66 :2384
67 :5316
70 :2304
71 :5076
79 :4744
100 :3056
104 :3968
23 67 90 94 97 :2936
23 71 90 94 97 :2744
104 23 90 94 97 :3080
24 36 90 94 97 :4488
24 38 90 94 97 :3296
24 41 90 94 97 :2320
24 42 90 94 97 :2168
24 56 90 94 97 :2752
24 66 90 94 97 :2192
24 70 90 94 97 :2160
24 79 90 94 97 :2328
100 24 90 94 97 :2856
29 36 90 94 97 :2160
29 38 90 94 97 :2160
31 36 90 94 97 :3008
31 41 90 94 97 :2752
31 56 90 94 97 :2752
31 67 90 94 97 :2428
31 71 90 94 97 :2380
36 38 90 94 97 :6272
36 41 90 94 97 :5040
36 42 90 94 97 :2528
36 55 90 94 97 :2704
36 56 90 94 97 :4864
36 57 90 94 97 :3680
36 66 90 94 97 :2192
36 67 90 94 97 :4684
36 70 90 94 97 :2160
36 71 90 94 97 :4444
36 79 90 94 97 :4256
100 36 90 94 97 :2856
104 36 90 94 97 :3368
38 41 90 94 97 :4016
38 42 90 94 97 :2256
38 55 90 94 97 :2528
38 56 90 94 97 :3744
38 57 90 94 97 :3408
38 66 90 94 97 :2192
38 67 90 94 97 :3936
38 70 90 94 97 :2160
38 71 90 94 97 :3696
38 79 90 94 97 :2960
104 38 90 94 97 :3168
41 56 90 94 97 :3040
41 57 90 94 97 :3312
41 67 90 94 97 :3088
41 71 90 94 97 :2896
41 79 90 94 97 :2592
104 41 90 94 97 :2720
56 57 90 94 97 :2112
56 67 90 94 97 :3344
56 71 90 94 97 :3344
56 79 90 94 97 :2848
100 56 90 94 97 :2752
104 56 90 94 97 :2112
57 67 90 94 97 :2204
57 71 90 94 97 :2204
104 57 90 94 97 :2312
67 71 90 94 97 :3666
67 79 90 94 97 :3100
104 67 90 94 97 :3224
71 79 90 94 97 :2860
104 71 90 94 97 :3032
104 79 90 94 97 :2216
11 36 38 90 94 :3196
11 36 41 90 94 :2140
11 38 41 90 94 :2164
120 2 24 90 94 :2504
120 2 36 90 94 :2848
120 2 38 90 94 :2800
120 24 36 90 94 :2648
120 24 38 90 94 :2528
120 36 38 90 94 :3752
120 36 42 90 94 :2224
120 36 56 90 94 :2832
120 36 67 90 94 :2316
120 36 71 90 94 :2292
120 38 56 90 94 :2736
120 38 67 90 94 :2136
120 38 71 90 94 :2112
1 23 36 90 94 :2752
1 23 38 90 94 :2656
1 23 41 90 94 :2656
1 23 67 90 94 :2752
1 23 71 90 94 :2560
1 104 23 90 94 :2560
1 31 36 90 94 :3496
1 31 38 90 94 :2112
1 31 41 90 94 :3280
1 31 56 90 94 :2752
1 31 67 90 94 :2788
1 31 71 90 94 :2740
1 31 79 90 94 :2232
1 104 31 90 94 :2160
1 36 38 90 94 :2816
1 36 41 90 94 :3984
1 36 56 90 94 :2848
1 36 67 90 94 :3588
1 36 71 90 94 :3348
1 36 79 90 94 :3032
1 104 36 90 94 :2960
1 38 41 90 94 :2672
1 38 67 90 94 :2800
1 38 71 90 94 :2560
1 104 38 90 94 :2576
1 41 56 90 94 :2752
1 41 67 90 94 :3312
1 41 71 90 94 :3120
1 41 79 90 94 :2720
1 104 41 90 94 :2768
1 56 67 90 94 :2336
1 56 71 90 94 :2336
1 67 71 90 94 :3002
1 67 79 90 94 :2340
1 104 67 90 94 :2800
1 104 71 90 94 :2608
122 36 41 90 94 :2276
2 24 36 90 94 :3272
2 24 38 90 94 :3200
2 24 66 90 94 :2240
2 24 70 90 94 :2160
2 29 36 90 94 :2160
2 29 38 90 94 :2160
2 36 38 90 94 :3792
2 36 42 90 94 :2216
2 36 66 90 94 :2216
2 36 70 90 94 :2160
2 38 42 90 94 :2112
2 38 66 90 94 :2240
2 38 70 90 94 :2160
24 36 5 90 94 :2124
36 38 5 90 94 :2964
36 41 5 90 94 :2708
36 5 56 90 94 :2144
36 5 67 90 94 :2396
36 5 71 90 94 :2276
36 5 79 90 94 :2184
38 41 5 90 94 :2108
36 38 6 90 94 :2648
36 41 6 90 94 :2392
36 56 6 90 94 :2144
128 36 38 90 94 :2944
128 36 41 90 94 :2192
128 36 56 90 94 :2400
128 36 57 90 94 :2456
128 36 67 90 94 :2352
128 36 71 90 94 :2304
128 38 41 90 94 :2216
128 38 56 90 94 :2304
128 38 57 90 94 :2264
128 38 67 90 94 :2160
128 38 71 90 94 :2112
128 41 57 90 94 :2168
128 56 67 90 94 :2112
128 56 71 90 94 :2112
128 67 71 90 94 :2160
36 41 9 90 94 :2168
23 36 38 90 94 :3272
23 36 41 90 94 :3016
23 36 56 90 94 :2112
23 36 57 90 94 :2224
23 36 67 90 94 :3232
23 36 71 90 94 :3040
23 36 79 90 94 :2128
104 23 36 90 94 :3184
23 38 41 90 94 :3016
23 38 57 90 94 :2120
23 38 67 90 94 :3128
23 38 71 90 94 :2936
104 23 38 90 94 :3080
23 41 57 90 94 :2120
23 41 67 90 94 :2872
23 41 71 90 94 :2680
104 23 41 90 94 :2824
23 56 57 90 94 :2112
104 23 56 90 94 :2112
104 23 57 90 94 :2224
23 67 71 90 94 :2968
104 23 67 90 94 :3040
104 23 71 90 94 :2848
24 36 38 90 94 :3336
24 36 41 90 94 :2648
24 36 42 90 94 :2168
24 36 56 90 94 :2752
24 36 66 90 94 :2360
24 36 70 90 94 :2304
24 36 79 90 94 :2616
100 24 36 90 94 :2856
24 38 66 90 94 :2240
24 38 70 90 94 :2160
100 24 56 90 94 :2752
29 36 38 90 94 :2160
31 36 38 90 94 :2216
31 36 41 90 94 :3352
31 36 56 90 94 :2752
31 36 67 90 94 :2868
31 36 71 90 94 :2820
31 36 79 90 94 :2344
104 31 36 90 94 :2240
31 38 67 90 94 :2168
31 38 71 90 94 :2120
31 41 56 90 94 :2752
31 41 67 90 94 :2680
31 41 71 90 94 :2680
104 31 41 90 94 :2136
31 56 67 90 94 :2240
31 56 71 90 94 :2240
31 67 71 90 94 :2474
36 38 41 90 94 :4352
36 38 42 90 94 :2256
36 38 55 90 94 :2864
36 38 56 90 94 :3744
36 38 57 90 94 :3528
36 38 66 90 94 :2216
36 38 67 90 94 :4232
36 38 70 90 94 :2160
36 38 71 90 94 :3992
36 38 79 90 94 :3160
104 36 38 90 94 :3288
36 41 55 90 94 :2624
36 41 56 90 94 :3040
36 41 57 90 94 :3432
36 41 67 90 94 :3528
36 41 71 90 94 :3336
36 41 79 90 94 :3080
104 36 41 90 94 :3128
36 56 57 90 94 :2112
36 56 67 90 94 :3344
36 56 71 90 94 :3344
36 56 79 90 94 :2848
100 36 56 90 94 :2752
104 36 56 90 94 :2112
36 57 67 90 94 :2308
36 57 71 90 94 :2308
104 36 57 90 94 :2432
36 67 71 90 94 :4034
36 67 79 90 94 :3444
104 36 67 90 94 :3472
36 71 79 90 94 :3204
104 36 71 90 94 :3280
104 36 79 90 94 :2608
38 41 55 90 94 :2360
38 41 57 90 94 :3432
38 41 67 90 94 :2872
38 41 71 90 94 :2680
104 38 41 90 94 :2840
38 56 67 90 94 :2736
38 56 71 90 94 :2736
104 38 57 90 94 :2232
38 67 71 90 94 :3488
38 67 79 90 94 :2552
104 38 67 90 94 :3128
38 71 79 90 94 :2312
104 38 71 90 94 :2936
104 38 79 90 94 :2120
41 56 67 90 94 :2384
41 56 71 90 94 :2384
104 41 57 90 94 :2136
41 67 71 90 94 :2936
41 67 79 90 94 :2280
104 41 67 90 94 :2824
104 41 71 90 94 :2632
104 56 57 90 94 :2112
56 67 71 90 94 :2584
57 67 71 90 94 :2218
104 57 67 90 94 :2272
104 57 71 90 94 :2272
67 71 79 90 94 :2570
104 67 71 90 94 :3136
104 67 79 90 94 :2320
104 71 79 90 94 :2128
11 36 38 90 97 :3016
120 2 24 90 97 :2504
120 2 36 90 97 :2776
120 2 38 90 97 :2728
120 24 36 90 97 :2648
120 24 38 90 97 :2624
120 36 38 90 97 :3664
120 36 42 90 97 :2224
120 36 56 90 97 :2832
120 36 67 90 97 :2228
120 36 71 90 97 :2204
120 38 56 90 97 :2736
120 38 67 90 97 :2144
120 38 71 90 97 :2120
1 23 36 90 97 :2528
1 23 38 90 97 :2432
1 23 41 90 97 :2432
1 23 67 90 97 :2528
1 23 71 90 97 :2336
1 104 23 90 97 :2528
1 31 36 90 97 :2968
1 31 41 90 97 :2944
1 31 56 90 97 :2752
1 31 67 90 97 :2612
1 31 71 90 97 :2564
1 36 38 90 97 :2576
1 36 41 90 97 :3456
1 36 56 90 97 :2848
1 36 67 90 97 :3220
1 36 71 90 97 :2980
1 36 79 90 97 :2616
1 104 36 90 97 :2624
1 38 41 90 97 :2624
1 38 67 90 97 :2768
1 38 71 90 97 :2528
1 104 38 90 97 :2720
1 41 56 90 97 :2752
1 41 67 90 97 :3136
1 41 71 90 97 :2944
1 41 79 90 97 :2304
1 104 41 90 97 :2624
1 56 67 90 97 :2336
1 56 71 90 97 :2336
1 67 71 90 97 :2898
1 104 67 90 97 :2816
1 104 71 90 97 :2624
2 24 36 90 97 :3256
2 24 38 90 97 :3152
2 24 66 90 97 :2192
2 24 70 90 97 :2160
2 29 36 90 97 :2160
2 29 38 90 97 :2160
2 36 38 90 97 :3696
2 36 42 90 97 :2224
2 36 66 90 97 :2192
2 36 70 90 97 :2160
2 38 42 90 97 :2112
2 38 66 90 97 :2192
2 38 70 90 97 :2160
36 38 5 90 97 :2872
36 41 5 90 97 :2520
36 5 56 90 97 :2144
36 5 67 90 97 :2268
36 5 71 90 97 :2148
36 38 6 90 97 :2520
36 41 6 90 97 :2264
36 56 6 90 97 :2144
128 36 38 90 97 :2912
128 36 41 90 97 :2160
128 36 56 90 97 :2400
128 36 57 90 97 :2448
128 36 67 90 97 :2352
128 36 71 90 97 :2304
128 38 41 90 97 :2160
128 38 56 90 97 :2304
128 38 57 90 97 :2256
128 38 67 90 97 :2160
128 38 71 90 97 :2112
128 41 57 90 97 :2160
128 56 67 90 97 :2112
128 56 71 90 97 :2112
128 67 71 90 97 :2160
23 36 38 90 97 :2976
23 36 41 90 97 :2720
23 36 56 90 97 :2112
23 36 57 90 97 :2120
23 36 67 90 97 :2936
23 36 71 90 97 :2744
104 23 36 90 97 :3080
23 38 41 90 97 :2720
23 38 67 90 97 :2832
23 38 71 90 97 :2640
104 23 38 90 97 :2976
23 41 67 90 97 :2576
23 41 71 90 97 :2384
104 23 41 90 97 :2720
23 56 57 90 97 :2112
104 23 56 90 97 :2112
104 23 57 90 97 :2120
23 67 71 90 97 :2672
104 23 67 90 97 :2936
104 23 71 90 97 :2744
24 36 38 90 97 :3296
24 36 41 90 97 :2320
24 36 42 90 97 :2176
24 36 56 90 97 :2752
24 36 66 90 97 :2192
24 36 70 90 97 :2160
24 36 79 90 97 :2328
100 24 36 90 97 :2864
24 38 66 90 97 :2192
24 38 70 90 97 :2160
100 24 56 90 97 :2752
29 36 38 90 97 :2160
31 36 41 90 97 :2752
31 36 56 90 97 :2752
31 36 67 90 97 :2428
31 36 71 90 97 :2380
31 41 56 90 97 :2752
31 41 67 90 97 :2432
31 41 71 90 97 :2432
31 56 67 90 97 :2240
31 56 71 90 97 :2240
31 67 71 90 97 :2298
36 38 41 90 97 :4016
36 38 42 90 97 :2256
36 38 55 90 97 :2528
36 38 56 90 97 :3744
36 38 57 90 97 :3408
36 38 66 90 97 :2192
36 38 67 90 97 :3936
36 38 70 90 97 :2160
36 38 71 90 97 :3696
36 38 79 90 97 :2960
104 36 38 90 97 :3168
36 41 56 90 97 :3040
36 41 57 90 97 :3312
36 41 67 90 97 :3088
36 41 71 90 97 :2896
36 41 79 90 97 :2592
104 36 41 90 97 :2720
36 56 57 90 97 :2112
36 56 67 90 97 :3344
36 56 71 90 97 :3344
36 56 79 90 97 :2848
100 36 56 90 97 :2752
104 36 56 90 97 :2112
36 57 67 90 97 :2204
36 57 71 90 97 :2204
104 36 57 90 97 :2312
36 67 71 90 97 :3666
36 67 79 90 97 :3100
104 36 67 90 97 :3224
36 71 79 90 97 :2860
104 36 71 90 97 :3032
104 36 79 90 97 :2216
38 41 55 90 97 :2192
38 41 57 90 97 :3312
38 41 67 90 97 :2768
38 41 71 90 97 :2576
104 38 41 90 97 :2912
38 56 67 90 97 :2736
38 56 71 90 97 :2736
104 38 57 90 97 :2112
38 67 71 90 97 :3384
38 67 79 90 97 :2352
104 38 67 90 97 :3216
38 71 79 90 97 :2112
104 38 71 90 97 :3024
41 56 67 90 97 :2384
41 56 71 90 97 :2384
41 67 71 90 97 :2760
104 41 67 90 97 :2768
104 41 71 90 97 :2576
104 56 57 90 97 :2112
56 67 71 90 97 :2584
57 67 71 90 97 :2114
104 57 67 90 97 :2168
104 57 71 90 97 :2168
67 71 79 90 97 :2298
104 67 71 90 97 :3152
11 36 38 41 90 :2140
120 2 24 36 90 :2504
120 2 24 38 90 :2456
120 2 36 38 90 :2800
120 24 36 38 90 :2528
120 36 38 56 90 :2736
120 36 38 67 90 :2136
120 36 38 71 90 :2112
1 23 36 38 90 :2656
1 23 36 41 90 :2656
1 23 36 67 90 :2752
1 23 36 71 90 :2560
1 104 23 36 90 :2560
1 23 38 41 90 :2656
1 23 38 67 90 :2656
1 23 38 71 90 :2464
1 104 23 38 90 :2464
1 23 41 67 90 :2656
1 23 41 71 90 :2464
1 104 23 41 90 :2464
1 23 67 71 90 :2560
1 104 23 67 90 :2560
1 104 23 71 90 :2368
1 31 36 38 90 :2112
1 31 36 41 90 :3280
1 31 36 56 90 :2752
1 31 36 67 90 :2788
1 31 36 71 90 :2740
1 31 36 79 90 :2232
1 104 31 36 90 :2160
1 31 38 41 90 :2160
1 31 38 67 90 :2288
1 31 38 71 90 :2240
1 31 41 56 90 :2752
1 31 41 67 90 :2800
1 31 41 71 90 :2800
1 104 31 41 90 :2256
1 31 56 67 90 :2240
1 31 56 71 90 :2240
1 31 67 71 90 :2586
1 104 31 67 90 :2192
1 104 31 71 90 :2192
1 36 38 41 90 :2672
1 36 38 67 90 :2800
1 36 38 71 90 :2560
1 104 36 38 90 :2576
1 36 41 56 90 :2752
1 36 41 67 90 :3312
1 36 41 71 90 :3120
1 36 41 79 90 :2720
1 104 36 41 90 :2768
1 36 56 67 90 :2336
1 36 56 71 90 :2336
1 36 67 71 90 :3002
1 36 67 79 90 :2340
1 104 36 67 90 :2800
1 104 36 71 90 :2608
1 38 41 67 90 :2848
1 38 41 71 90 :2656
1 104 38 41 90 :2672
1 38 67 71 90 :2752
1 104 38 67 90 :2752
1 104 38 71 90 :2560
1 41 56 67 90 :2240
1 41 56 71 90 :2240
1 41 67 71 90 :2984
1 104 41 67 90 :2800
1 104 41 71 90 :2608
1 104 67 71 90 :2728
2 24 36 38 90 :3176
2 24 36 66 90 :2216
2 24 36 70 90 :2160
2 24 38 66 90 :2240
2 24 38 70 90 :2160
2 29 36 38 90 :2160
2 36 38 42 90 :2112
2 36 38 66 90 :2216
2 36 38 70 90 :2160
128 36 38 41 90 :2192
128 36 38 56 90 :2304
128 36 38 57 90 :2264
128 36 38 67 90 :2160
128 36 38 71 90 :2112
128 36 41 57 90 :2168
128 36 56 67 90 :2112
128 36 56 71 90 :2112
128 36 67 71 90 :2160
128 38 41 57 90 :2168
23 36 38 41 90 :3016
23 36 38 57 90 :2120
23 36 38 67 90 :3128
23 36 38 71 90 :2936
104 23 36 38 90 :3080
23 36 41 57 90 :2120
23 36 41 67 90 :2872
23 36 41 71 90 :2680
104 23 36 41 90 :2824
23 36 56 57 90 :2112
104 23 36 56 90 :2112
104 23 36 57 90 :2224
23 36 67 71 90 :2968
104 23 36 67 90 :3040
104 23 36 71 90 :2848
23 38 41 57 90 :2120
23 38 41 67 90 :2872
23 38 41 71 90 :2680
104 23 38 41 90 :2824
104 23 38 57 90 :2120
23 38 67 71 90 :2864
104 23 38 67 90 :2936
104 23 38 71 90 :2744
104 23 41 57 90 :2120
23 41 67 71 90 :2608
104 23 41 67 90 :2680
104 23 41 71 90 :2488
104 23 56 57 90 :2112
104 23 67 71 90 :2776
24 36 38 66 90 :2216
24 36 38 70 90 :2160
100 24 36 56 90 :2752
31 36 38 67 90 :2168
31 36 38 71 90 :2120
31 36 41 56 90 :2752
31 36 41 67 90 :2680
31 36 41 71 90 :2680
104 31 36 41 90 :2136
31 36 56 67 90 :2240
31 36 56 71 90 :2240
31 36 67 71 90 :2474
31 38 41 67 90 :2216
31 38 41 71 90 :2216
31 38 67 71 90 :2312
104 31 38 67 90 :2120
104 31 38 71 90 :2120
31 41 56 67 90 :2240
31 41 56 71 90 :2240
31 41 67 71 90 :2544
104 31 41 67 90 :2168
104 31 41 71 90 :2168
104 31 67 71 90 :2200
36 38 41 55 90 :2336
36 38 41 57 90 :3432
36 38 41 67 90 :2872
36 38 41 71 90 :2680
104 36 38 41 90 :2840
36 38 56 67 90 :2736
36 38 56 71 90 :2736
104 36 38 57 90 :2232
36 38 67 71 90 :3488
36 38 67 79 90 :2552
104 36 38 67 90 :3128
36 38 71 79 90 :2312
104 36 38 71 90 :2936
104 36 38 79 90 :2120
36 41 56 67 90 :2384
36 41 56 71 90 :2384
104 36 41 57 90 :2136
36 41 67 71 90 :2936
36 41 67 79 90 :2280
104 36 41 67 90 :2824
104 36 41 71 90 :2632
104 36 56 57 90 :2112
36 56 67 71 90 :2584
36 57 67 71 90 :2218
104 36 57 67 90 :2272
104 36 57 71 90 :2272
36 67 71 79 90 :2570
104 36 67 71 90 :3136
104 36 67 79 90 :2320
104 36 71 79 90 :2128
104 38 41 57 90 :2136
38 41 67 71 90 :2800
104 38 41 67 90 :2872
104 38 41 71 90 :2680
38 56 67 71 90 :2232
104 38 67 71 90 :3056
104 41 67 71 90 :2680
104 57 67 71 90 :2200
11 36 38 94 97 :3016
120 2 24 94 97 :2504
120 2 36 94 97 :2776
120 2 38 94 97 :2728
120 24 36 94 97 :2648
120 24 38 94 97 :2528
120 36 38 94 97 :3664
120 36 42 94 97 :2224
120 36 56 94 97 :2832
120 36 67 94 97 :2228
120 36 71 94 97 :2204
120 38 56 94 97 :2736
1 23 36 94 97 :2528
1 23 38 94 97 :2432
1 23 41 94 97 :2432
1 23 67 94 97 :2528
1 23 71 94 97 :2336
1 104 23 94 97 :2528
1 31 36 94 97 :2968
1 31 41 94 97 :2752
1 31 56 94 97 :2752
1 31 67 94 97 :2420
1 31 71 94 97 :2372
1 36 38 94 97 :2576
1 36 41 94 97 :3456
1 36 56 94 97 :2848
1 36 67 94 97 :3220
1 36 71 94 97 :2980
1 36 79 94 97 :2616
1 104 36 94 97 :2624
1 38 41 94 97 :2432
1 38 67 94 97 :2576
1 38 71 94 97 :2336
1 104 38 94 97 :2528
1 41 56 94 97 :2752
1 41 67 94 97 :2944
1 41 71 94 97 :2752
1 41 79 94 97 :2304
1 104 41 94 97 :2432
1 56 67 94 97 :2336
1 56 71 94 97 :2336
1 67 71 94 97 :2706
1 104 67 94 97 :2624
1 104 71 94 97 :2432
2 24 36 94 97 :3248
2 24 38 94 97 :3152
2 24 66 94 97 :2192
2 24 70 94 97 :2160
2 29 36 94 97 :2160
2 29 38 94 97 :2160
2 36 38 94 97 :3696
2 36 42 94 97 :2216
2 36 66 94 97 :2192
2 36 70 94 97 :2160
2 38 42 94 97 :2112
2 38 66 94 97 :2192
2 38 70 94 97 :2160
36 38 5 94 97 :2872
36 41 5 94 97 :2520
36 5 56 94 97 :2144
36 5 67 94 97 :2268
36 5 71 94 97 :2148
36 38 6 94 97 :2520
36 41 6 94 97 :2264
36 56 6 94 97 :2144
128 36 38 94 97 :2912
128 36 41 94 97 :2160
128 36 56 94 97 :2400
128 36 57 94 97 :2448
128 36 67 94 97 :2352
128 36 71 94 97 :2304
128 38 41 94 97 :2160
128 38 56 94 97 :2304
128 38 57 94 97 :2256
128 38 67 94 97 :2160
128 38 71 94 97 :2112
128 41 57 94 97 :2160
128 56 67 94 97 :2112
128 56 71 94 97 :2112
128 67 71 94 97 :2160
23 36 38 94 97 :2976
23 36 41 94 97 :2720
23 36 56 94 97 :2112
23 36 57 94 97 :2120
23 36 67 94 97 :2936
23 36 71 94 97 :2744
104 23 36 94 97 :3080
23 38 41 94 97 :2720
23 38 67 94 97 :2832
23 38 71 94 97 :2640
104 23 38 94 97 :2976
23 41 67 94 97 :2576
23 41 71 94 97 :2384
104 23 41 94 97 :2720
23 56 57 94 97 :2112
104 23 56 94 97 :2112
104 23 57 94 97 :2120
23 67 71 94 97 :2672
104 23 67 94 97 :2936
104 23 71 94 97 :2744
24 36 38 94 97 :3296
24 36 41 94 97 :2320
24 36 42 94 97 :2168
24 36 56 94 97 :2752
24 36 66 94 97 :2192
24 36 70 94 97 :2160
24 36 79 94 97 :2328
100 24 36 94 97 :2856
24 38 66 94 97 :2192
24 38 70 94 97 :2160
100 24 56 94 97 :2752
29 36 38 94 97 :2160
31 36 41 94 97 :2752
31 36 56 94 97 :2752
31 36 67 94 97 :2428
31 36 71 94 97 :2380
31 41 56 94 97 :2752
31 41 67 94 97 :2240
31 41 71 94 97 :2240
31 56 67 94 97 :2240
31 56 71 94 97 :2240
31 67 71 94 97 :2106
36 38 41 94 97 :4016
36 38 42 94 97 :2256
36 38 55 94 97 :2528
36 38 56 94 97 :3744
36 38 57 94 97 :3408
36 38 66 94 97 :2192
36 38 67 94 97 :3936
36 38 70 94 97 :2160
36 38 71 94 97 :3696
36 38 79 94 97 :2960
104 36 38 94 97 :3168
36 41 56 94 97 :3040
36 41 57 94 97 :3312
36 41 67 94 97 :3088
36 41 71 94 97 :2896
36 41 79 94 97 :2592
104 36 41 94 97 :2720
36 56 57 94 97 :2112
36 56 67 94 97 :3344
36 56 71 94 97 :3344
36 56 79 94 97 :2848
100 36 56 94 97 :2752
104 36 56 94 97 :2112
36 57 67 94 97 :2204
36 57 71 94 97 :2204
104 36 57 94 97 :2312
36 67 71 94 97 :3666
36 67 79 94 97 :3100
104 36 67 94 97 :3224
36 71 79 94 97 :2860
104 36 71 94 97 :3032
104 36 79 94 97 :2216
38 41 57 94 97 :3312
38 41 67 94 97 :2576
38 41 71 94 97 :2384
104 38 41 94 97 :2720
38 56 67 94 97 :2736
38 56 71 94 97 :2736
104 38 57 94 97 :2112
38 67 71 94 97 :3192
38 67 79 94 97 :2352
104 38 67 94 97 :3024
38 71 79 94 97 :2112
104 38 71 94 97 :2832
41 56 67 94 97 :2384
41 56 71 94 97 :2384
41 67 71 94 97 :2568
104 41 67 94 97 :2576
104 41 71 94 97 :2384
104 56 57 94 97 :2112
56 67 71 94 97 :2584
57 67 71 94 97 :2114
104 57 67 94 97 :2168
104 57 71 94 97 :2168
67 71 79 94 97 :2298
104 67 71 94 97 :2960
11 36 38 41 94 :2140
120 2 24 36 94 :2504
120 2 24 38 94 :2456
120 2 36 38 94 :2800
120 24 36 38 94 :2528
120 36 38 56 94 :2736
120 36 38 67 94 :2136
120 36 38 71 94 :2112
1 23 36 38 94 :2656
1 23 36 41 94 :2656
1 23 36 67 94 :2752
1 23 36 71 94 :2560
1 104 23 36 94 :2560
1 23 38 41 94 :2656
1 23 38 67 94 :2656
1 23 38 71 94 :2464
1 104 23 38 94 :2464
1 23 41 67 94 :2656
1 23 41 71 94 :2464
1 104 23 41 94 :2464
1 23 67 71 94 :2560
1 104 23 67 94 :2560
1 104 23 71 94 :2368
1 31 36 38 94 :2112
1 31 36 41 94 :3280
1 31 36 56 94 :2752
1 31 36 67 94 :2788
1 31 36 71 94 :2740
1 31 36 79 94 :2232
1 104 31 36 94 :2160
1 31 41 56 94 :2752
1 31 41 67 94 :2608
1 31 41 71 94 :2608
1 31 56 67 94 :2240
1 31 56 71 94 :2240
1 31 67 71 94 :2394
1 36 38 41 94 :2672
1 36 38 67 94 :2800
1 36 38 71 94 :2560
1 104 36 38 94 :2576
1 36 41 56 94 :2752
1 36 41 67 94 :3312
1 36 41 71 94 :3120
1 36 41 79 94 :2720
1 104 36 41 94 :2768
1 36 56 67 94 :2336
1 36 56 71 94 :2336
1 36 67 71 94 :3002
1 36 67 79 94 :2340
1 104 36 67 94 :2800
1 104 36 71 94 :2608
1 38 41 67 94 :2656
1 38 41 71 94 :2464
1 104 38 41 94 :2480
1 38 67 71 94 :2560
1 104 38 67 94 :2560
1 104 38 71 94 :2368
1 41 56 67 94 :2240
1 41 56 71 94 :2240
1 41 67 71 94 :2792
1 104 41 67 94 :2608
1 104 41 71 94 :2416
1 104 67 71 94 :2536
2 24 36 38 94 :3176
2 24 36 66 94 :2216
2 24 36 70 94 :2160
2 24 38 66 94 :2240
2 24 38 70 94 :2160
2 29 36 38 94 :2160
2 36 38 42 94 :2112
2 36 38 66 94 :2216
2 36 38 70 94 :2160
128 36 38 41 94 :2192
128 36 38 56 94 :2304
128 36 38 57 94 :2264
128 36 38 67 94 :2160
128 36 38 71 94 :2112
128 36 41 57 94 :2168
128 36 56 67 94 :2112
128 36 56 71 94 :2112
128 36 67 71 94 :2160
128 38 41 57 94 :2168
23 36 38 41 94 :3016
23 36 38 57 94 :2120
23 36 38 67 94 :3128
23 36 38 71 94 :2936
104 23 36 38 94 :3080
23 36 41 57 94 :2120
23 36 41 67 94 :2872
23 36 41 71 94 :2680
104 23 36 41 94 :2824
23 36 56 57 94 :2112
104 23 36 56 94 :2112
104 23 36 57 94 :2224
23 36 67 71 94 :2968
104 23 36 67 94 :3040
104 23 36 71 94 :2848
23 38 41 57 94 :2120
23 38 41 67 94 :2872
23 38 41 71 94 :2680
104 23 38 41 94 :2824
104 23 38 57 94 :2120
23 38 67 71 94 :2864
104 23 38 67 94 :2936
104 23 38 71 94 :2744
104 23 41 57 94 :2120
23 41 67 71 94 :2608
104 23 41 67 94 :2680
104 23 41 71 94 :2488
104 23 56 57 94 :2112
104 23 67 71 94 :2776
24 36 38 66 94 :2216
24 36 38 70 94 :2160
100 24 36 56 94 :2752
31 36 38 67 94 :2168
31 36 38 71 94 :2120
31 36 41 56 94 :2752
31 36 41 67 94 :2680
31 36 41 71 94 :2680
104 31 36 41 94 :2136
31 36 56 67 94 :2240
31 36 56 71 94 :2240
31 36 67 71 94 :2474
31 38 67 71 94 :2120
31 41 56 67 94 :2240
31 41 56 71 94 :2240
31 41 67 71 94 :2352
36 38 41 55 94 :2336
36 38 41 57 94 :3432
36 38 41 67 94 :2872
36 38 41 71 94 :2680
104 36 38 41 94 :2840
36 38 56 67 94 :2736
36 38 56 71 94 :2736
104 36 38 57 94 :2232
36 38 67 71 94 :3488
36 38 67 79 94 :2552
104 36 38 67 94 :3128
36 38 71 79 94 :2312
104 36 38 71 94 :2936
104 36 38 79 94 :2120
36 41 56 67 94 :2384
36 41 56 71 94 :2384
104 36 41 57 94 :2136
36 41 67 71 94 :2936
36 41 67 79 94 :2280
104 36 41 67 94 :2824
104 36 41 71 94 :2632
104 36 56 57 94 :2112
36 56 67 71 94 :2584
36 57 67 71 94 :2218
104 36 57 67 94 :2272
104 36 57 71 94 :2272
36 67 71 79 94 :2570
104 36 67 71 94 :3136
104 36 67 79 94 :2320
104 36 71 79 94 :2128
104 38 41 57 94 :2136
38 41 67 71 94 :2608
104 38 41 67 94 :2680
104 38 41 71 94 :2488
38 56 67 71 94 :2232
104 38 67 71 94 :2864
104 41 67 71 94 :2488
104 57 67 71 94 :2200
120 2 24 36 97 :2504
120 2 24 38 97 :2456
120 2 36 38 97 :2728
120 24 36 38 97 :2528
120 36 38 56 97 :2736
1 23 36 38 97 :2432
1 23 36 41 97 :2432
1 23 36 67 97 :2528
1 23 36 71 97 :2336
1 104 23 36 97 :2528
1 23 38 41 97 :2432
1 23 38 67 97 :2432
